job_id,intent,fixture,p,pub_index,isa_qpy_sha256,n_shots,feasible_shot_fraction,optimal_hit_fraction,best_feasible_utility,exact_optimum,absolute_optimality_gap,greedy_incumbent_utility,pool_contains_optimum,strict_improvement_possible,uniform_feasibility_probability,uniform_optimal_hit_probability,evidence_type,sample_origin,block,backend
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D1,2,0,2307af2fe41c10492e361ed27a2e7228371633fa77f6cae10c64ea44f784307f,1024,0.3251953125,0.0244140625,23.0,23.0,0.0,23.0,True,False,0.1875,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D4,1,1,0e92af39d85f7b85dbcbf61e08d14f07920e9019a4f650ee11ce2e5776ccdd6a,1024,0.150390625,0.029296875,24.0,24.0,0.0,24.0,True,False,0.09375,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D1,1,2,103d4e893368bdb247d0ec08bc490d38e76a045931e32c0a58356ac28107567a,1024,0.3408203125,0.017578125,23.0,23.0,0.0,23.0,True,False,0.1875,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D3,1,3,6f65e347d9c98917141a91c66f9d7ea02dbee0879e12fe5e33772d397122c3de,1024,0.248046875,0.021484375,23.0,23.0,0.0,21.0,True,True,0.140625,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D5,1,4,37be7f480e67f3201d200e06b6695b51a6bd044106dca6d6758fad5412dba875,1024,0.169921875,0.029296875,23.0,23.0,0.0,22.0,True,True,0.09375,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D4,2,5,064db2c31e5f942c07cb51ee3100ef70e835c1dcb72908a17ff62a6b072fc136,1024,0.2197265625,0.0078125,24.0,24.0,0.0,24.0,True,False,0.09375,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D5,2,6,c6ba69bed63dd92f6d10b0f1f9da96c2ca4a0cd71dea2aaf3e336090128d25c2,1024,0.2880859375,0.0478515625,23.0,23.0,0.0,22.0,True,True,0.09375,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D6,1,7,1a0c0a5c26f8a54f943e32343e1228a1ab449800ab939e276db8cdaf39e567a6,1024,0.1552734375,0.0546875,22.0,22.0,0.0,22.0,True,False,0.09375,0.03125,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D2,1,8,6d858106402fa4a1c4f7a99a0ca8c8d6d50370f5eecdbe8f4fa12c8658ce614d,1024,0.232421875,0.052734375,23.0,23.0,0.0,23.0,True,False,0.125,0.03125,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D3,2,9,f3ef652268b92f04b13f32bd30b5db5ee9916df5ccf9be381f240178487215ba,1024,0.25,0.0087890625,23.0,23.0,0.0,21.0,True,True,0.140625,0.015625,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D6,2,10,e9e0cf2edfc94433432e65325bac3594b4b8a82dd400bce79b7a0554f4fa6c0a,1024,0.1533203125,0.052734375,22.0,22.0,0.0,22.0,True,False,0.09375,0.03125,decision_hardware,decision_hardware,1,ibm_fez
dagjoc8mhr3c73e58uk0,d938fae1-f0e3-44d1-bb17-f2ba2f03f15e,D2,2,11,c3401971302e82c9204e2b3c0005100da97ade048b54dfad0eb1bc777b47f244,1024,0.3662109375,0.076171875,23.0,23.0,0.0,23.0,True,False,0.125,0.03125,decision_hardware,decision_hardware,1,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D1,2,0,2307af2fe41c10492e361ed27a2e7228371633fa77f6cae10c64ea44f784307f,1024,0.3203125,0.0380859375,23.0,23.0,0.0,23.0,True,False,0.1875,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D4,1,1,0e92af39d85f7b85dbcbf61e08d14f07920e9019a4f650ee11ce2e5776ccdd6a,1024,0.1435546875,0.0146484375,24.0,24.0,0.0,24.0,True,False,0.09375,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D1,1,2,103d4e893368bdb247d0ec08bc490d38e76a045931e32c0a58356ac28107567a,1024,0.32421875,0.0244140625,23.0,23.0,0.0,23.0,True,False,0.1875,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D3,1,3,6f65e347d9c98917141a91c66f9d7ea02dbee0879e12fe5e33772d397122c3de,1024,0.26171875,0.037109375,23.0,23.0,0.0,21.0,True,True,0.140625,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D5,1,4,37be7f480e67f3201d200e06b6695b51a6bd044106dca6d6758fad5412dba875,1024,0.1708984375,0.0224609375,23.0,23.0,0.0,22.0,True,True,0.09375,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D4,2,5,064db2c31e5f942c07cb51ee3100ef70e835c1dcb72908a17ff62a6b072fc136,1024,0.2421875,0.0234375,24.0,24.0,0.0,24.0,True,False,0.09375,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D5,2,6,c6ba69bed63dd92f6d10b0f1f9da96c2ca4a0cd71dea2aaf3e336090128d25c2,1024,0.2578125,0.05078125,23.0,23.0,0.0,22.0,True,True,0.09375,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D6,1,7,1a0c0a5c26f8a54f943e32343e1228a1ab449800ab939e276db8cdaf39e567a6,1024,0.1572265625,0.052734375,22.0,22.0,0.0,22.0,True,False,0.09375,0.03125,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D2,1,8,6d858106402fa4a1c4f7a99a0ca8c8d6d50370f5eecdbe8f4fa12c8658ce614d,1024,0.203125,0.0654296875,23.0,23.0,0.0,23.0,True,False,0.125,0.03125,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D3,2,9,f3ef652268b92f04b13f32bd30b5db5ee9916df5ccf9be381f240178487215ba,1024,0.2294921875,0.01953125,23.0,23.0,0.0,21.0,True,True,0.140625,0.015625,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D6,2,10,e9e0cf2edfc94433432e65325bac3594b4b8a82dd400bce79b7a0554f4fa6c0a,1024,0.16015625,0.060546875,22.0,22.0,0.0,22.0,True,False,0.09375,0.03125,decision_hardware,decision_hardware,2,ibm_fez
dagjstomhr3c73e5936g,f494f1ad-b145-4ae4-a4ad-3f8156bbd0d1,D2,2,11,c3401971302e82c9204e2b3c0005100da97ade048b54dfad0eb1bc777b47f244,1024,0.3291015625,0.0849609375,23.0,23.0,0.0,23.0,True,False,0.125,0.03125,decision_hardware,decision_hardware,2,ibm_fez
dagjto8mhr3c73e5942g,01e6dd19-704f-4bb7-8d17-03345f515543,D1,2,0,2307af2fe41c10492e361ed27a2e7228371633fa77f6cae10c64ea44f784307f,1024,0.36328125,0.044921875,23.0,23.0,0.0,23.0,True,False,0.1875,0.015625,decision_hardware,decision_hardware,3,ibm_fez
dagjto8mhr3c73e5942g,01e6dd19-704f-4bb7-8d17-03345f515543,D4,1,1,0e92af39d85f7b85dbcbf61e08d14f07920e9019a4f650ee11ce2e5776ccdd6a,1024,0.1669921875,0.0263671875,24.0,24.0,0.0,24.0,True,False,0.09375,0.015625,decision_hardware,decision_hardware,3,ibm_fez
