fixture,p_panel,classical_pools_shared_across_p,prefix,analytical_p_at_least_one_opt_uniform,p_opt_uniform_single_draw,uniform_opt_hit,uniform_contains_opt,k3_opt_hit,hardware_opt_hit,hardware_n_blocks,exact_enumeration_opt_hit,greedy_selected_utility,exact_optimum,sample_origin,analysis_type
D1,1,True,1,0.015625,0.015625,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.09375, ""n"": 32, ""stdev"": 0.2914805954090255}","{""mean"": 0.3333333333333333, ""n"": 6, ""stdev"": 0.4714045207910317}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,2,True,1,0.015625,0.015625,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.09375, ""n"": 32, ""stdev"": 0.2914805954090255}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,1,True,4,0.061050355434417725,0.015625,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.08267972847076846}","{""mean"": 0.125, ""n"": 32, ""stdev"": 0.33071891388307384}","{""mean"": 0.0546875, ""n"": 32, ""stdev"": 0.12077831901359615}","{""mean"": 0.08333333333333333, ""n"": 6, ""stdev"": 0.11785113019775792}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,2,True,4,0.061050355434417725,0.015625,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.08267972847076846}","{""mean"": 0.125, ""n"": 32, ""stdev"": 0.33071891388307384}","{""mean"": 0.0546875, ""n"": 32, ""stdev"": 0.12077831901359615}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,1,True,16,0.22273482905658715,0.015625,"{""mean"": 0.0234375, ""n"": 32, ""stdev"": 0.030257682392245445}","{""mean"": 0.375, ""n"": 32, ""stdev"": 0.4841229182759271}","{""mean"": 0.0390625, ""n"": 32, ""stdev"": 0.04621937330546575}","{""mean"": 0.03125, ""n"": 6, ""stdev"": 0.03125}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,2,True,16,0.22273482905658715,0.015625,"{""mean"": 0.0234375, ""n"": 32, ""stdev"": 0.030257682392245445}","{""mean"": 0.375, ""n"": 32, ""stdev"": 0.4841229182759271}","{""mean"": 0.0390625, ""n"": 32, ""stdev"": 0.04621937330546575}","{""mean"": 0.03125, ""n"": 6, ""stdev"": 0.03125}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,1,True,64,0.6350134757560926,0.015625,"{""mean"": 0.0166015625, ""n"": 32, ""stdev"": 0.014050287665955234}","{""mean"": 0.65625, ""n"": 32, ""stdev"": 0.47495887979908324}","{""mean"": 0.0498046875, ""n"": 32, ""stdev"": 0.026330993677173366}","{""mean"": 0.036458333333333336, ""n"": 6, ""stdev"": 0.017274087449767706}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,2,True,64,0.6350134757560926,0.015625,"{""mean"": 0.0166015625, ""n"": 32, ""stdev"": 0.014050287665955234}","{""mean"": 0.65625, ""n"": 32, ""stdev"": 0.47495887979908324}","{""mean"": 0.0498046875, ""n"": 32, ""stdev"": 0.026330993677173366}","{""mean"": 0.0390625, ""n"": 6, ""stdev"": 0.017469281074217108}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,1,True,256,0.9822537203789488,0.015625,"{""mean"": 0.015380859375, ""n"": 32, ""stdev"": 0.006901022473194614}","{""mean"": 0.96875, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.04931640625, ""n"": 32, ""stdev"": 0.011708573054962694}","{""mean"": 0.021484375, ""n"": 6, ""stdev"": 0.004915256793796061}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,2,True,256,0.9822537203789488,0.015625,"{""mean"": 0.015380859375, ""n"": 32, ""stdev"": 0.006901022473194614}","{""mean"": 0.96875, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.04931640625, ""n"": 32, ""stdev"": 0.011708573054962694}","{""mean"": 0.040364583333333336, ""n"": 6, ""stdev"": 0.010252614419286212}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,1,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.014923095703125, ""n"": 32, ""stdev"": 0.0033317313467387927}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.047943115234375, ""n"": 32, ""stdev"": 0.007934981115417267}","{""mean"": 0.020345052083333332, ""n"": 6, ""stdev"": 0.0037996801855236825}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D1,2,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.014923095703125, ""n"": 32, ""stdev"": 0.0033317313467387927}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.047943115234375, ""n"": 32, ""stdev"": 0.007934981115417267}","{""mean"": 0.037109375, ""n"": 6, ""stdev"": 0.007264294793105924}",6,0.015625,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,1,True,1,0.03125,0.03125,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,2,True,1,0.03125,0.03125,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.16666666666666666, ""n"": 6, ""stdev"": 0.37267799624996495}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,1,True,4,0.1192617416381836,0.03125,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.06051536478449089}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.078125, ""n"": 32, ""stdev"": 0.14574029770451274}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,2,True,4,0.1192617416381836,0.03125,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.06051536478449089}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.078125, ""n"": 32, ""stdev"": 0.14574029770451274}","{""mean"": 0.041666666666666664, ""n"": 6, ""stdev"": 0.09316949906249124}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,1,True,16,0.3982896965679277,0.03125,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.04133986423538423}","{""mean"": 0.4375, ""n"": 32, ""stdev"": 0.49607837082461076}","{""mean"": 0.103515625, ""n"": 32, ""stdev"": 0.07907141593748891}","{""mean"": 0.0625, ""n"": 6, ""stdev"": 0.05103103630798288}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,2,True,16,0.3982896965679277,0.03125,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.04133986423538423}","{""mean"": 0.4375, ""n"": 32, ""stdev"": 0.49607837082461076}","{""mean"": 0.103515625, ""n"": 32, ""stdev"": 0.07907141593748891}","{""mean"": 0.10416666666666667, ""n"": 6, ""stdev"": 0.07795119555779044}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,1,True,64,0.868915967521525,0.03125,"{""mean"": 0.03369140625, ""n"": 32, ""stdev"": 0.019959895933564155}","{""mean"": 0.96875, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.1015625, ""n"": 32, ""stdev"": 0.03964410767614148}","{""mean"": 0.052083333333333336, ""n"": 6, ""stdev"": 0.017274087449767706}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,2,True,64,0.868915967521525,0.03125,"{""mean"": 0.03369140625, ""n"": 32, ""stdev"": 0.019959895933564155}","{""mean"": 0.96875, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.1015625, ""n"": 32, ""stdev"": 0.03964410767614148}","{""mean"": 0.09895833333333333, ""n"": 6, ""stdev"": 0.056816208930394345}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D2,1,True,256,0.9997047437009647,0.03125,"{""mean"": 0.0306396484375, ""n"": 32, ""stdev"": 0.010153872871975103}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.1036376953125, ""n"": 32, ""stdev"": 0.024374663032745703}","{""mean"": 0.054036458333333336, ""n"": 6, ""stdev"": 0.010436991889245701}",6,0.03125,23.0,23.0,post_collection_classical_controls,post_collection_classical_controls
