fixture,p,n_blocks,optimal_hit_mean,optimal_hit_median,optimal_hit_min,optimal_hit_max,feasible_mean,uniform_optimal_hit_probability,all_pools_contain_optimum,evidence_type,sampling_unit
D1,1,6,0.020345052083333332,0.01904296875,0.015625,0.0263671875,0.3444010416666667,0.015625,True,decision_hardware,six_clustered_blocks
D1,2,6,0.037109375,0.037109375,0.0244140625,0.0458984375,0.3479817708333333,0.015625,True,decision_hardware,six_clustered_blocks
D2,1,6,0.0517578125,0.0517578125,0.041015625,0.0654296875,0.23307291666666666,0.03125,True,decision_hardware,six_clustered_blocks
D2,2,6,0.09342447916666667,0.09375,0.076171875,0.107421875,0.4166666666666667,0.03125,True,decision_hardware,six_clustered_blocks
D3,1,6,0.033203125,0.03564453125,0.021484375,0.04296875,0.2669270833333333,0.015625,True,decision_hardware,six_clustered_blocks
D3,2,6,0.014811197916666666,0.01513671875,0.0087890625,0.01953125,0.25927734375,0.015625,True,decision_hardware,six_clustered_blocks
D4,1,6,0.024576822916666668,0.02587890625,0.0146484375,0.029296875,0.14925130208333334,0.015625,True,decision_hardware,six_clustered_blocks
D4,2,6,0.0087890625,0.0068359375,0.001953125,0.0234375,0.23942057291666666,0.015625,True,decision_hardware,six_clustered_blocks
D5,1,6,0.028645833333333332,0.02880859375,0.0166015625,0.044921875,0.18668619791666666,0.015625,True,decision_hardware,six_clustered_blocks
D5,2,6,0.05517578125,0.052734375,0.0478515625,0.0712890625,0.3045247395833333,0.015625,True,decision_hardware,six_clustered_blocks
D6,1,6,0.060872395833333336,0.0625,0.052734375,0.068359375,0.16666666666666666,0.03125,True,decision_hardware,six_clustered_blocks
D6,2,6,0.061360677083333336,0.06103515625,0.052734375,0.0703125,0.1630859375,0.03125,True,decision_hardware,six_clustered_blocks
