instance_id,p,expectation_e_over_a,ideal_feasibility_probability,ideal_optimal_hit_probability,uniform_feasibility_probability,uniform_optimal_hit_probability,worse_than_uniform_feasibility,worse_than_uniform_optimal_hit,evidence_type
D1,1,0.3828397406854764,0.4341740033880601,0.03754015811353558,0.1875,0.015625,False,False,ideal_simulation
D1,2,0.23004307348322237,0.47493611977249767,0.05393030525424697,0.1875,0.015625,False,False,ideal_simulation
D2,1,0.5622343912241758,0.3152524196414115,0.07946271031232066,0.125,0.03125,False,False,ideal_simulation
D2,2,-0.2685501673815466,0.9064565938651559,0.2270119177317691,0.125,0.03125,False,False,ideal_simulation
D3,1,0.5791332746281336,0.33728976519503806,0.03839674571522838,0.140625,0.015625,False,False,ideal_simulation
D3,2,0.5791332746281336,0.33728976519503806,0.03839674571522838,0.140625,0.015625,False,False,ideal_simulation
D4,1,0.7632322726311626,0.2333144402087105,0.040902202807594754,0.09375,0.015625,False,False,ideal_simulation
D4,2,0.2184850746074602,0.40457140075696607,0.0003611757653116725,0.09375,0.015625,False,True,ideal_simulation
D5,1,0.7776271777589954,0.23977313032114228,0.040843253386546284,0.09375,0.015625,False,False,ideal_simulation
D5,2,0.3935945271339338,0.5379544734148147,0.09949201771414133,0.09375,0.015625,False,False,ideal_simulation
D6,1,0.7639481955662851,0.23980778812715547,0.08146669699023676,0.09375,0.03125,False,False,ideal_simulation
D6,2,0.7639481955662851,0.23980778812715547,0.08146669699023676,0.09375,0.03125,False,False,ideal_simulation
