instance_id,prefix,shots_available,shots_inspected,distinct,feasible_count,feasible_fraction,best_feasible_utility,optimal_hit_count,optimal_hit_rate,evidence_type,note,p,solver
D1,1,1024,1,1,1,1.0,19.0,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,1,ideal_qaoa_finite_shot_sim
D1,4,1024,4,4,3,0.75,21.0,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,1,ideal_qaoa_finite_shot_sim
D1,16,1024,16,14,8,0.5,22.0,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,1,ideal_qaoa_finite_shot_sim
D1,64,1024,64,31,29,0.453125,23.0,2,0.03125,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,1,ideal_qaoa_finite_shot_sim
D1,256,1024,256,50,101,0.39453125,23.0,9,0.03515625,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,1,ideal_qaoa_finite_shot_sim
D1,1024,1024,1024,60,426,0.416015625,23.0,32,0.03125,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,1,ideal_qaoa_finite_shot_sim
D1,1,1024,1,1,1,1.0,21.0,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
D1,4,1024,4,4,1,0.25,21.0,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
D1,16,1024,16,15,5,0.3125,23.0,1,0.0625,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
D1,64,1024,64,39,16,0.25,23.0,1,0.015625,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
D1,256,1024,256,63,58,0.2265625,23.0,3,0.01171875,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
D1,1024,1024,1024,64,217,0.2119140625,23.0,15,0.0146484375,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
D1,1,1024,1,1,1,1.0,20.0,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,2,ideal_qaoa_finite_shot_sim
D1,4,1024,4,4,3,0.75,23.0,1,0.25,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,2,ideal_qaoa_finite_shot_sim
D1,16,1024,16,12,6,0.375,23.0,1,0.0625,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,2,ideal_qaoa_finite_shot_sim
D1,64,1024,64,22,31,0.484375,23.0,6,0.09375,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,2,ideal_qaoa_finite_shot_sim
D1,256,1024,256,36,126,0.4921875,23.0,22,0.0859375,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,2,ideal_qaoa_finite_shot_sim
D1,1024,1024,1024,54,474,0.462890625,23.0,62,0.060546875,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,2,ideal_qaoa_finite_shot_sim
D1,1,1024,1,1,0,0.0,,0,0.0,sampled_simulation,Prefixes from one shared stream are dependent analyses; not independent experiments. Full-shot cost still applies.,,uniform_bitstring
